RMA No.,Name,Email Address,Status,Product Code,Description,Quantity,Date Code,Reason For Returning,Detailed Problem Description,Warranty Status,Warranty Status Remarks,Findings,Findings Remarks,Resolution,Resolution Remarks,Transfer to Warehouse
2502001,"SugarByte IT, Inc.",vlad@sugarbyte.net,Issued RMA,SK-B141-PQ,Bluetooth Single-Gang Keypad with Reader,1,???,Defective,unit will no longer tun on at all,,,,,,,
2502002,Audio Plus Solutions,leonard@audioplussolutions.com,Completed,SK-B241-PQ,Bluetooth Mullion Keypad with Reader,1,04A22,Defective,Prox reader will not recognize that a credential has been presented.,OUT OF WARRANTY,04A22,Defective,Powers on but card reader does not work.,Replace,We have replaced with a new unit.,W92
2502003,BROOKLYN SUPPLY,raizy@blvs.com,Completed,SK-B111-PQ,"Bluetooth Single-Gang Keypad with Reader, Indoor",1,,Defective,DOA,UNDER WARRANTY,08A24,Defective,Unit does not draw current,Replace,,W92
2502003,BROOKLYN SUPPLY,raizy@blvs.com,Completed,SK-910RD4,"4-channel RF Receiver, 315/433.92 MHz",1,01383021,Defective,"Channel 3 drops xmitters (SK-917T4-
GNQ) and stops working after a few days
and problem cannot be fgured out. Same
issue Dealer had with similar equipment.",OUT OF WARRANTY,09A23,Tested to be working,works for now need long term testing.,Replace,,W94
2502003,BROOKLYN SUPPLY,raizy@blvs.com,Completed,SD-6276-SS1Q,"PIEZO RTE, SNGL-GNG, ENG/SPNS",2,,Defective,Both are not working correctly,OUT OF WARRANTY,"08A23, 10A23",Defective,Might be able solder together and fix per Anh,Replace,,W92
2502004,ESC SUPPLY,PCOWLEY@ESC-SUPPLY.COM,Completed,SD-6276-SS1Q,"PIEZO RTE, SNGL-GNG, ENG/SPNS",1,,Defective,Customer stated it did not work upon power up.,OUT OF WARRANTY,08A22,Defective,,Replace,,W92
2502005,Gates and Controls - Corona,erika.e@gatesandcontrols.com,Completed,E-941S-1K2/UQ,"U-Bracket for E-941SA-1200, E-941SA-1K2PQ, E-941SA-1K2PD, E-941SA-1K2DPSQ",4,,"New, do not need","Return for Credit Request: originally ordered under PO# 55573, customer does not need, returning in brand new condition",UNDER WARRANTY,,New unit(s),,Issue Credit,,W01
2502006,SECURITY EQUIPMENT SUPPLY,cclendenen@sesonline.com,Issued RMA,SK-B241-PQ,Bluetooth Mullion Keypad with Reader,1,04A24,Defective,Product is defective. Dead on arrival Requesting credit,,,,,,,
2502007,Hogback0@gmail.com,Hogback0@gmail.com,Completed,E-922CPQ,"Voice Dialer, 3 Channels",1,06A24,Defective,"Unit doesn't send alarms to phone, tamper alarm doesnt work.",UNDER WARRANTY,06A24,Defective,Unit is found dead per Anh,Replace,,W92
2502008,Lawrence Doors,purchasing@lawrencedoors.com,Completed,E-936-S45RRGQ,"NIR PB, 3'' REFLECT, HOOD, 45', ETL UL325",1,2/4/25,Defective,"SRPE stopped working. 
Power was confirmed at the unit but no power light indicated.",UNDER WARRANTY,04A24,Defective,Doesn't power on.,Replace,,W92
